                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5816,                 8.0166,                 2.5649,                0.16539,                0.16549,                0.09653,                0.04253,                 2.9773,                 11.358,                 2.0335,              0.0033328,              0.0033328,              0.0033328
                      2,                 3.7346,                 4.4307,                 2.6476,                0.20477,                0.19383,                0.13399,                0.05899,                  2.982,                 7.8166,                 2.0756,              0.0066001,              0.0066001,              0.0066001
                      3,                 3.8595,                 4.2995,                 2.7419,                0.20647,                 0.1844,                0.12874,                0.05875,                 3.0321,                 6.9931,                 2.1193,              0.0098014,              0.0098014,              0.0098014
                      4,                 3.7963,                 4.0828,                 2.7446,                0.20651,                0.20082,                0.13564,                0.06596,                 2.8565,                 6.9249,                  2.055,               0.009703,               0.009703,               0.009703
                      5,                 3.6202,                 3.7163,                 2.6485,                0.23229,                0.20569,                0.15044,                0.07834,                 2.7175,                 6.6901,                 1.9972,               0.009604,               0.009604,               0.009604
                      6,                 3.5288,                 3.5467,                 2.5982,                0.24734,                0.20451,                0.16224,                 0.0821,                 2.6794,                 6.5299,                 1.9784,               0.009505,               0.009505,               0.009505
                      7,                 3.4612,                 3.4016,                 2.5554,                0.24751,                 0.2186,                0.16511,                0.08532,                 2.6298,                 6.0323,                 1.9473,               0.009406,               0.009406,               0.009406
                      8,                 3.4125,                 3.2891,                 2.5387,                 0.2381,                0.21978,                0.16492,                0.08783,                 2.5985,                 6.0811,                 1.9329,               0.009307,               0.009307,               0.009307
                      9,                 3.3581,                 3.1949,                 2.5051,                 0.2457,                0.21997,                  0.167,                0.09015,                 2.5514,                  5.856,                 1.9123,               0.009208,               0.009208,               0.009208
                     10,                 3.3304,                 3.1196,                 2.5002,                0.24205,                0.21921,                0.16502,                0.09039,                 2.5229,                 5.9602,                 1.9112,               0.009109,               0.009109,               0.009109
                     11,                 3.2945,                 3.0623,                 2.4816,                0.25073,                0.22625,                0.17442,                0.09505,                 2.5121,                 5.8638,                 1.9068,                0.00901,                0.00901,                0.00901
                     12,                 3.2921,                 3.0374,                 2.4703,                0.24274,                0.22828,                0.17293,                0.09487,                 2.5059,                 5.7522,                 1.9044,               0.008911,               0.008911,               0.008911
                     13,                 3.2483,                 2.9764,                  2.457,                0.24285,                 0.2318,                0.17294,                0.09597,                 2.4768,                 5.6541,                 1.8984,               0.008812,               0.008812,               0.008812
                     14,                   3.25,                 2.9713,                 2.4543,                0.25151,                0.22482,                0.17346,                0.09684,                 2.4381,                 5.7298,                 1.8788,               0.008713,               0.008713,               0.008713
                     15,                 3.2209,                 2.9194,                 2.4452,                 0.2499,                0.22617,                0.17246,                0.09657,                  2.427,                 5.7574,                 1.8746,               0.008614,               0.008614,               0.008614
                     16,                 3.2092,                 2.9051,                 2.4386,                0.24541,                0.23035,                0.17204,                0.09781,                  2.409,                 5.6678,                 1.8673,               0.008515,               0.008515,               0.008515
                     17,                 3.1909,                 2.8649,                 2.4186,                0.24943,                0.23086,                0.17391,                0.09929,                 2.4043,                 5.6441,                 1.8634,               0.008416,               0.008416,               0.008416
                     18,                 3.1772,                 2.8392,                 2.4205,                0.24818,                0.23129,                0.17374,                0.09963,                 2.4032,                 5.6618,                 1.8617,               0.008317,               0.008317,               0.008317
                     19,                 3.1737,                 2.8206,                 2.4081,                0.24734,                0.23011,                0.17294,                0.09967,                 2.3971,                 5.6414,                 1.8595,               0.008218,               0.008218,               0.008218
                     20,                 3.1684,                 2.8021,                 2.4103,                 0.2498,                0.23055,                0.17386,                0.10022,                 2.3903,                 5.6283,                 1.8554,               0.008119,               0.008119,               0.008119
                     21,                 3.1377,                 2.7643,                 2.3988,                0.24769,                0.23209,                0.17361,                0.10022,                 2.3858,                 5.6235,                 1.8535,                0.00802,                0.00802,                0.00802
