                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5898,                 7.9903,                 2.5782,                0.42007,                 0.4173,                0.34604,                0.15052,                 3.7907,                 6.4413,                 2.0891,              0.0033328,              0.0033328,              0.0033328
                      2,                 3.7488,                 4.3966,                 2.6717,                0.48825,                0.51334,                 0.4576,                0.21174,                 3.4819,                 4.5119,                 2.0498,              0.0066001,              0.0066001,              0.0066001
                      3,                 3.8706,                 4.2446,                 2.7565,                0.50958,                 0.5274,                0.46502,                0.21676,                 3.5597,                 4.7861,                 2.1119,              0.0098014,              0.0098014,              0.0098014
                      4,                 3.7926,                 4.0419,                  2.749,                0.54182,                0.53425,                0.51148,                 0.2575,                 3.3277,                 4.1453,                 2.0586,               0.009703,               0.009703,               0.009703
                      5,                 3.6291,                  3.699,                 2.6591,                0.56206,                0.60122,                0.55369,                0.29159,                  3.119,                  3.858,                 2.0068,               0.009604,               0.009604,               0.009604
                      6,                 3.5288,                 3.5141,                 2.6092,                0.56248,                0.59082,                0.56083,                0.29721,                  3.109,                 3.9042,                 1.9998,               0.009505,               0.009505,               0.009505
                      7,                 3.4613,                 3.3826,                 2.5675,                0.59189,                 0.6192,                0.59525,                0.32139,                 3.0113,                 3.5711,                 1.9643,               0.009406,               0.009406,               0.009406
                      8,                 3.4062,                 3.2814,                 2.5508,                0.59379,                 0.6205,                0.60119,                0.32945,                 2.9464,                 3.5398,                 1.9518,               0.009307,               0.009307,               0.009307
                      9,                 3.3623,                 3.1824,                 2.5184,                0.60113,                0.63293,                0.61893,                0.34022,                 2.9343,                 3.4757,                 1.9378,               0.009208,               0.009208,               0.009208
                     10,                 3.3298,                  3.123,                 2.4967,                0.60543,                0.64147,                0.62346,                0.35039,                 2.8767,                 3.4562,                 1.9356,               0.009109,               0.009109,               0.009109
                     11,                 3.2912,                 3.0683,                 2.4842,                0.62342,                0.63115,                0.62889,                0.35001,                 2.8737,                 3.4191,                 1.9455,                0.00901,                0.00901,                0.00901
                     12,                 3.2898,                 3.0338,                 2.4776,                0.62755,                0.63673,                0.63484,                0.36079,                 2.8359,                 3.4538,                 1.9268,               0.008911,               0.008911,               0.008911
                     13,                 3.2488,                 2.9791,                 2.4631,                0.62779,                0.63369,                0.63803,                0.36552,                 2.8217,                 3.4504,                 1.9168,               0.008812,               0.008812,               0.008812
                     14,                 3.2476,                 2.9737,                 2.4573,                0.62427,                0.64066,                0.63643,                0.36362,                  2.793,                 3.4443,                 1.9089,               0.008713,               0.008713,               0.008713
                     15,                 3.2181,                 2.9185,                 2.4478,                0.62674,                 0.6351,                0.63761,                0.36703,                 2.7759,                 3.4271,                 1.9069,               0.008614,               0.008614,               0.008614
                     16,                 3.2065,                 2.9113,                 2.4396,                0.63058,                0.64891,                0.64316,                0.37242,                 2.7539,                 3.4143,                 1.9045,               0.008515,               0.008515,               0.008515
                     17,                 3.1843,                 2.8616,                 2.4237,                0.62822,                0.64256,                0.64271,                0.37326,                 2.7485,                 3.4076,                 1.9034,               0.008416,               0.008416,               0.008416
                     18,                 3.1808,                 2.8226,                 2.4233,                0.63083,                0.65677,                0.64748,                 0.3752,                 2.7389,                 3.3752,                 1.9002,               0.008317,               0.008317,               0.008317
                     19,                 3.1761,                 2.8229,                 2.4146,                0.63818,                0.64942,                 0.6492,                0.37749,                 2.7279,                 3.3732,                 1.8973,               0.008218,               0.008218,               0.008218
                     20,                 3.1624,                 2.8033,                 2.4143,                0.62857,                0.65855,                 0.6501,                0.37914,                 2.7232,                 3.3666,                 1.8962,               0.008119,               0.008119,               0.008119
                     21,                 3.1361,                 2.7627,                 2.4023,                0.62513,                0.66591,                0.65152,                0.38026,                 2.7221,                 3.3689,                 1.8955,                0.00802,                0.00802,                0.00802
                     22,                 3.1325,                 2.7495,                 2.3957,                0.62709,                0.66185,                0.65252,                0.38135,                 2.7205,                 3.3669,                  1.895,               0.007921,               0.007921,               0.007921
                     23,                 3.1265,                 2.7303,                 2.3941,                0.62856,                0.66368,                0.65351,                0.38359,                 2.7154,                 3.3657,                 1.8936,               0.007822,               0.007822,               0.007822
                     24,                 3.1208,                 2.7262,                 2.3901,                0.63045,                0.66591,                0.65495,                0.38446,                 2.7094,                 3.3643,                 1.8918,               0.007723,               0.007723,               0.007723
                     25,                 3.1025,                 2.6766,                 2.3757,                0.63109,                0.66235,                0.65575,                0.38541,                 2.7063,                 3.3613,                 1.8906,               0.007624,               0.007624,               0.007624
                     26,                 3.0996,                 2.6868,                 2.3775,                0.63592,                0.66032,                0.65771,                 0.3864,                 2.7037,                 3.3595,                 1.8897,               0.007525,               0.007525,               0.007525
                     27,                 3.0803,                 2.6489,                 2.3704,                0.64125,                  0.655,                0.65838,                0.38776,                 2.7016,                 3.3553,                 1.8897,               0.007426,               0.007426,               0.007426
                     28,                 3.0893,                 2.6505,                 2.3782,                0.63788,                0.65677,                0.65957,                0.38885,                 2.6977,                 3.3578,                 1.8885,               0.007327,               0.007327,               0.007327
                     29,                 3.0881,                  2.634,                 2.3688,                0.64243,                0.65145,                0.66007,                0.38958,                 2.6951,                 3.3505,                 1.8881,               0.007228,               0.007228,               0.007228
                     30,                 3.0659,                 2.6085,                 2.3545,                0.64049,                0.64988,                0.66048,                0.39072,                 2.6898,                 3.3444,                 1.8876,               0.007129,               0.007129,               0.007129
                     31,                 3.0747,                 2.6253,                 2.3623,                0.64134,                0.65003,                0.65994,                0.39139,                 2.6854,                 3.3443,                 1.8856,                0.00703,                0.00703,                0.00703
                     32,                 3.0585,                 2.6031,                 2.3591,                0.65177,                0.64054,                0.65921,                0.39154,                 2.6819,                 3.3409,                 1.8844,               0.006931,               0.006931,               0.006931
                     33,                 3.0538,                 2.5871,                 2.3559,                0.65384,                0.64206,                0.66037,                0.39287,                 2.6795,                 3.3291,                 1.8838,               0.006832,               0.006832,               0.006832
                     34,                 3.0434,                  2.569,                 2.3518,                0.65237,                 0.6446,                0.66072,                0.39338,                  2.678,                 3.3232,                 1.8824,               0.006733,               0.006733,               0.006733
                     35,                 3.0351,                 2.5631,                 2.3481,                0.65041,                0.64848,                0.66162,                0.39469,                 2.6753,                 3.3207,                 1.8808,               0.006634,               0.006634,               0.006634
                     36,                 3.0292,                 2.5435,                  2.338,                0.65027,                0.64891,                0.66202,                0.39484,                 2.6724,                 3.3191,                 1.8803,               0.006535,               0.006535,               0.006535
                     37,                 3.0286,                 2.5438,                  2.345,                0.65073,                0.64866,                0.66241,                0.39538,                 2.6676,                 3.3184,                 1.8783,               0.006436,               0.006436,               0.006436
                     38,                 3.0193,                 2.5276,                 2.3336,                  0.651,                0.65094,                 0.6627,                0.39554,                 2.6641,                 3.3221,                 1.8775,               0.006337,               0.006337,               0.006337
                     39,                 3.0225,                 2.5168,                 2.3425,                0.64925,                0.65083,                0.66364,                0.39668,                 2.6618,                 3.3229,                 1.8766,               0.006238,               0.006238,               0.006238
                     40,                 3.0025,                 2.4977,                  2.328,                0.65059,                0.65246,                0.66442,                 0.3975,                 2.6607,                 3.3212,                 1.8761,               0.006139,               0.006139,               0.006139
                     41,                 3.0064,                 2.5011,                 2.3292,                0.64937,                0.65682,                0.66545,                0.39832,                 2.6605,                 3.3152,                 1.8761,                0.00604,                0.00604,                0.00604
                     42,                  2.995,                 2.4686,                 2.3208,                0.64999,                 0.6583,                0.66705,                0.39938,                 2.6563,                 3.3113,                 1.8747,               0.005941,               0.005941,               0.005941
                     43,                 2.9877,                 2.4668,                 2.3196,                 0.6482,                0.66058,                0.66723,                0.40009,                 2.6549,                 3.3054,                 1.8742,               0.005842,               0.005842,               0.005842
                     44,                 2.9824,                 2.4478,                 2.3163,                0.64843,                0.66388,                 0.6685,                0.40149,                 2.6531,                 3.2938,                 1.8734,               0.005743,               0.005743,               0.005743
                     45,                 2.9697,                 2.4328,                 2.3073,                0.64951,                0.66185,                0.66822,                0.40206,                  2.649,                 3.2875,                 1.8729,               0.005644,               0.005644,               0.005644
