                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.9671,                 2.4492,                 2.3085,                0.65018,                0.66312,                0.66969,                  0.403,                 2.6474,                  3.277,                 1.8717,               0.005545,               0.005545,               0.005545
                     47,                 2.9702,                 2.4236,                 2.3114,                0.65345,                0.66202,                0.67091,                0.40347,                 2.6436,                 3.2697,                  1.871,               0.005446,               0.005446,               0.005446
                     48,                 2.9528,                 2.4338,                 2.3072,                0.65411,                0.66413,                0.67122,                0.40478,                 2.6399,                 3.2582,                 1.8706,               0.005347,               0.005347,               0.005347
                     49,                 2.9511,                 2.3996,                  2.305,                0.65153,                0.66734,                0.67211,                0.40564,                 2.6378,                 3.2541,                 1.8698,               0.005248,               0.005248,               0.005248
                     50,                 2.9449,                 2.3921,                 2.2959,                0.65166,                 0.6687,                0.67284,                0.40613,                 2.6363,                 3.2463,                 1.8695,               0.005149,               0.005149,               0.005149
                     51,                 2.9399,                 2.3878,                 2.2899,                 0.6513,                0.66665,                0.67337,                0.40732,                 2.6306,                 3.2359,                 1.8692,                0.00505,                0.00505,                0.00505
                     52,                 2.9234,                 2.3684,                 2.2922,                0.65343,                0.66337,                0.67366,                  0.408,                 2.6307,                 3.2279,                 1.8694,               0.004951,               0.004951,               0.004951
                     53,                 2.9297,                   2.37,                 2.2919,                0.64904,                 0.6671,                0.67354,                0.40852,                 2.6307,                  3.221,                   1.87,               0.004852,               0.004852,               0.004852
                     54,                 2.9157,                 2.3627,                 2.2876,                 0.6508,                0.66794,                0.67362,                0.40881,                 2.6296,                 3.2131,                 1.8697,               0.004753,               0.004753,               0.004753
                     55,                 2.9313,                 2.3636,                  2.292,                0.65316,                0.66881,                0.67475,                0.40929,                 2.6281,                 3.2068,                 1.8696,               0.004654,               0.004654,               0.004654
                     56,                 2.9083,                 2.3373,                 2.2804,                0.64161,                0.67485,                 0.6759,                0.41082,                 2.6257,                 3.1937,                 1.8692,               0.004555,               0.004555,               0.004555
                     57,                  2.897,                 2.3443,                 2.2821,                0.64875,                0.67329,                0.67604,                0.41176,                 2.6236,                 3.1848,                 1.8686,               0.004456,               0.004456,               0.004456
                     58,                 2.8877,                 2.3123,                 2.2691,                0.65677,                0.66355,                 0.6766,                0.41266,                 2.6215,                 3.1757,                 1.8685,               0.004357,               0.004357,               0.004357
                     59,                  2.895,                 2.3139,                 2.2721,                0.65988,                0.66442,                0.67685,                0.41324,                 2.6179,                 3.1652,                 1.8675,               0.004258,               0.004258,               0.004258
                     60,                 2.8786,                 2.3022,                 2.2653,                0.66265,                0.66324,                0.67844,                0.41442,                 2.6158,                 3.1538,                 1.8667,               0.004159,               0.004159,               0.004159
                     61,                 2.8715,                 2.2978,                 2.2658,                0.65874,                0.67087,                0.67997,                 0.4152,                 2.6126,                 3.1394,                 1.8656,                0.00406,                0.00406,                0.00406
                     62,                 2.8719,                 2.2809,                 2.2558,                0.65793,                0.67402,                0.68155,                0.41621,                 2.6099,                 3.1188,                 1.8652,               0.003961,               0.003961,               0.003961
                     63,                 2.8702,                 2.2647,                 2.2601,                0.66051,                0.67402,                0.68325,                0.41756,                 2.6065,                 3.1088,                 1.8637,               0.003862,               0.003862,               0.003862
                     64,                 2.8657,                 2.2577,                 2.2532,                0.66112,                0.67808,                0.68462,                0.41853,                 2.6048,                 3.1024,                 1.8633,               0.003763,               0.003763,               0.003763
                     65,                 2.8546,                 2.2375,                 2.2509,                0.66354,                0.67681,                0.68543,                0.41901,                 2.6046,                 3.0951,                 1.8635,               0.003664,               0.003664,               0.003664
                     66,                 2.8333,                 2.2238,                 2.2459,                0.66541,                0.67351,                0.68487,                0.41925,                 2.6046,                 3.0902,                 1.8635,               0.003565,               0.003565,               0.003565
                     67,                 2.8407,                 2.2205,                 2.2407,                0.66328,                0.67428,                0.68531,                0.41964,                  2.603,                 3.0883,                 1.8631,               0.003466,               0.003466,               0.003466
                     68,                 2.8184,                 2.1962,                 2.2342,                0.66512,                0.67199,                0.68541,                0.42018,                 2.6016,                  3.083,                 1.8624,               0.003367,               0.003367,               0.003367
                     69,                 2.8178,                 2.2078,                  2.235,                0.66505,                0.67047,                0.68538,                0.42051,                 2.6003,                   3.08,                  1.862,               0.003268,               0.003268,               0.003268
                     70,                 2.8159,                 2.1885,                 2.2414,                0.66561,                0.67123,                0.68558,                0.42066,                 2.5974,                 3.0821,                 1.8615,               0.003169,               0.003169,               0.003169
                     71,                 2.8109,                 2.1789,                 2.2294,                0.66507,                0.67301,                0.68549,                0.42081,                  2.596,                 3.0822,                 1.8608,                0.00307,                0.00307,                0.00307
                     72,                 2.8004,                 2.1668,                 2.2292,                0.66818,                 0.6725,                0.68655,                0.42227,                 2.5963,                 3.0706,                 1.8618,               0.002971,               0.002971,               0.002971
                     73,                 2.7915,                 2.1555,                 2.2212,                0.66116,                0.68011,                0.68653,                0.42316,                 2.5958,                  3.064,                 1.8623,               0.002872,               0.002872,               0.002872
                     74,                 2.7853,                 2.1346,                 2.2141,                0.66044,                0.68011,                0.68764,                0.42331,                 2.5951,                 3.0572,                 1.8617,               0.002773,               0.002773,               0.002773
                     75,                 2.7622,                 2.1184,                 2.2059,                0.66809,                0.67403,                0.68789,                0.42359,                 2.5957,                 3.0496,                 1.8612,               0.002674,               0.002674,               0.002674
                     76,                 2.7756,                 2.1192,                 2.2112,                0.66777,                0.67631,                0.68857,                0.42422,                 2.5931,                 3.0469,                 1.8597,               0.002575,               0.002575,               0.002575
                     77,                  2.754,                 2.1059,                 2.2037,                0.66552,                0.67838,                0.68862,                0.42417,                 2.5947,                 3.0395,                 1.8612,               0.002476,               0.002476,               0.002476
                     78,                  2.746,                 2.1006,                  2.197,                0.66613,                0.67884,                0.68866,                0.42445,                 2.5948,                 3.0309,                 1.8613,               0.002377,               0.002377,               0.002377
                     79,                 2.7434,                 2.0782,                 2.1932,                0.66698,                0.67884,                0.68936,                0.42525,                 2.5934,                 3.0204,                 1.8611,               0.002278,               0.002278,               0.002278
                     80,                 2.7303,                 2.0645,                 2.1944,                0.66522,                0.68011,                 0.6907,                0.42579,                 2.5932,                 3.0107,                 1.8611,               0.002179,               0.002179,               0.002179
                     81,                 2.7088,                 2.0483,                  2.194,                0.66574,                0.67859,                0.69161,                0.42613,                 2.5929,                 3.0069,                 1.8613,                0.00208,                0.00208,                0.00208
                     82,                 2.7199,                 2.0534,                  2.195,                 0.6686,                0.67986,                 0.6929,                0.42699,                 2.5908,                 3.0064,                 1.8609,               0.001981,               0.001981,               0.001981
                     83,                 2.7201,                 2.0567,                 2.1928,                0.66668,                0.68143,                0.69336,                0.42742,                 2.5913,                 3.0027,                 1.8615,               0.001882,               0.001882,               0.001882
                     84,                 2.6958,                 2.0331,                 2.1854,                0.66821,                0.68138,                0.69345,                0.42718,                   2.59,                 3.0074,                 1.8612,               0.001783,               0.001783,               0.001783
                     85,                 2.6961,                 2.0189,                 2.1785,                0.66927,                0.67986,                0.69417,                0.42768,                 2.5909,                 3.0077,                 1.8614,               0.001684,               0.001684,               0.001684
                     86,                 2.6868,                 2.0108,                  2.175,                0.66508,                0.68519,                0.69387,                0.42796,                 2.5906,                 3.0096,                 1.8616,               0.001585,               0.001585,               0.001585
                     87,                 2.6776,                 2.0045,                 2.1763,                0.66808,                 0.6829,                0.69397,                0.42791,                 2.5907,                 3.0096,                  1.862,               0.001486,               0.001486,               0.001486
                     88,                 2.6661,                 1.9866,                 2.1743,                0.66867,                0.68163,                0.69497,                0.42854,                 2.5905,                  3.011,                 1.8615,               0.001387,               0.001387,               0.001387
                     89,                 2.6549,                 1.9659,                 2.1675,                 0.6713,                0.68077,                0.69542,                0.42858,                   2.59,                 3.0112,                 1.8613,               0.001288,               0.001288,               0.001288
                     90,                 2.6443,                 1.9416,                 2.1598,                0.67049,                0.68316,                0.69584,                0.42902,                 2.5899,                 3.0092,                 1.8611,               0.001189,               0.001189,               0.001189
                     91,                 2.6366,                 1.8456,                 2.1329,                0.67032,                0.67931,                0.69595,                0.42912,                  2.589,                 3.0072,                 1.8608,                0.00109,                0.00109,                0.00109
                     92,                 2.6028,                 1.7955,                 2.1327,                0.66553,                0.68747,                0.69608,                0.42968,                 2.5877,                 3.0082,                 1.8604,               0.000991,               0.000991,               0.000991
                     93,                 2.5968,                 1.7839,                 2.1173,                0.66458,                0.68747,                0.69662,                0.43034,                 2.5867,                 3.0014,                   1.86,               0.000892,               0.000892,               0.000892
                     94,                 2.5698,                  1.747,                 2.1109,                0.66521,                0.68392,                0.69673,                0.43037,                 2.5869,                 2.9979,                 1.8596,               0.000793,               0.000793,               0.000793
                     95,                 2.5576,                 1.7324,                 2.1063,                0.66985,                0.68138,                0.69734,                0.43099,                 2.5853,                 2.9925,                 1.8586,               0.000694,               0.000694,               0.000694
                     96,                 2.5424,                 1.7122,                 2.0977,                0.67003,                 0.6796,                0.69673,                0.43116,                 2.5837,                 2.9852,                 1.8578,               0.000595,               0.000595,               0.000595
                     97,                  2.543,                 1.7052,                 2.0964,                0.67081,                0.67808,                0.69778,                0.43166,                  2.583,                  2.977,                 1.8576,               0.000496,               0.000496,               0.000496
                     98,                 2.5168,                 1.6875,                 2.0883,                0.66889,                0.68113,                 0.6976,                0.43202,                 2.5792,                 2.9733,                 1.8565,               0.000397,               0.000397,               0.000397
                     99,                  2.505,                 1.6625,                 2.0873,                0.66974,                0.67681,                0.69853,                0.43255,                 2.5796,                 2.9691,                 1.8564,               0.000298,               0.000298,               0.000298
                    100,                 2.4934,                 1.6544,                 2.0822,                0.67027,                0.67834,                0.69862,                0.43293,                 2.5761,                 2.9707,                 1.8551,               0.000199,               0.000199,               0.000199
